Process 0: Starting ES0:100 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 1: Starting ES1:150 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 2: Starting ES2:200 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 0, Mean Error: 10800.612012294709
Process 3: Starting ES3:250 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 1070, Mean Error: 6746.746253864686
ES2: Generation 700, Mean Error: 7938.439058955313
ES1: Generation 820, Mean Error: 6775.683332505886
ES0: Generation 1080, Mean Error: 6489.742913974137
ES3: Generation 590, Mean Error: 6997.915110750277
ES1: Generation 830, Mean Error: 7198.079223427093
ES0: Generation 1090, Mean Error: 6596.583069052254
ES2: Generation 710, Mean Error: 7994.853851263758
ES0: Generation 1100, Mean Error: 6506.4805168037865
ES1: Generation 840, Mean Error: 7118.756203747403
ES3: Generation 600, Mean Error: 7400.116120598974
ES2: Generation 720, Mean Error: 8149.878572079803
ES0: Generation 1110, Mean Error: 6426.1229056966395
ES1: Generation 850, Mean Error: 7048.098348123692
ES0: Generation 1120, Mean Error: 6766.259656146112
ES2: Generation 730, Mean Error: 8026.367744042736
ES3: Generation 610, Mean Error: 7059.991607656512
ES1: Generation 860, Mean Error: 7246.031748923652
ES0: Generation 1130, Mean Error: 6490.462596516839
ES2: Generation 740, Mean Error: 8124.307178427054
ES0: Generation 1140, Mean Error: 6749.712146998644
ES1: Generation 870, Mean Error: 6687.942137056582
ES3: Generation 620, Mean Error: 6784.222038761325
ES0: Generation 1150, Mean Error: 6813.62551107731
ES2: Generation 750, Mean Error: 8004.9765916331235
ES1: Generation 880, Mean Error: 6856.404292118054
ES3: Generation 630, Mean Error: 7269.52665742233
ES0: Generation 1160, Mean Error: 6715.495244530978
ES1: Generation 890, Mean Error: 6764.919783166385
ES2: Generation 760, Mean Error: 7696.234289591305
ES0: Generation 1170, Mean Error: 6508.801429801539
ES3: Generation 640, Mean Error: 7522.978066318791
ES1: Generation 900, Mean Error: 6659.460069751583
ES0: Generation 1180, Mean Error: 7280.765180752172
ES2: Generation 770, Mean Error: 7907.98887276655
ES0: Generation 1190, Mean Error: 7109.218252907969
ES1: Generation 910, Mean Error: 6752.5502603925015
ES3: Generation 650, Mean Error: 7492.930968468652
ES2: Generation 780, Mean Error: 7534.339246889227
ES0: Generation 1200, Mean Error: 6874.455674741665
ES1: Generation 920, Mean Error: 6497.787331130152
ES0: Generation 1210, Mean Error: 6591.843997065082
ES3: Generation 660, Mean Error: 7739.374141837689
ES2: Generation 790, Mean Error: 7477.5540689450745
ES1: Generation 930, Mean Error: 6360.671177919424
ES0: Generation 1220, Mean Error: 6583.556531580353
ES2: Generation 800, Mean Error: 7420.615923331442
ES0: Generation 1230, Mean Error: 6710.621911383815
ES1: Generation 940, Mean Error: 6402.551699610586
ES3: Generation 670, Mean Error: 7276.605706883097
ES0: Generation 1240, Mean Error: 6474.194737747413
ES1: Generation 950, Mean Error: 6246.250759684105
ES2: Generation 810, Mean Error: 7209.658402034705
ES3: Generation 680, Mean Error: 7635.36775766345
ES0: Generation 1250, Mean Error: 6654.628758057189
ES1: Generation 960, Mean Error: 6346.325103342135
ES0: Generation 1260, Mean Error: 6960.630801944338
ES2: Generation 820, Mean Error: 7412.419574998219
ES3: Generation 690, Mean Error: 8157.874472471434
ES1: Generation 970, Mean Error: 6399.944190808606
ES0: Generation 1270, Mean Error: 6950.07817700412
ES2: Generation 830, Mean Error: 7071.3988238568145
ES0: Generation 1280, Mean Error: 7191.969501976365
ES1: Generation 980, Mean Error: 6581.03275375639
ES3: Generation 700, Mean Error: 8302.307172940185
ES0: Generation 1290, Mean Error: 7124.882131466602
ES2: Generation 840, Mean Error: 6913.785832323807
ES1: Generation 990, Mean Error: 7334.377118658661
ES0: Generation 1300, Mean Error: 7019.5837257368075
ES3: Generation 710, Mean Error: 8529.497059936115
ES2: Generation 850, Mean Error: 6798.956724853666
ES1: Generation 1000, Mean Error: 6816.322660487637
ES0: Generation 1310, Mean Error: 7185.501473226893
ES0: Generation 1320, Mean Error: 7009.097125519306
