Setting up the network with 2 inputs and 1 output(s)
Starting GA training at Fri Nov 10 17:25:26 2017
Generation 2660, Mean Error: 7578.06700110484
Generation 2665, Mean Error: 7589.153129359037
Generation 2670, Mean Error: 7610.026279053709
Generation 2675, Mean Error: 7605.235979036794
Generation 2680, Mean Error: 7590.323087610365
Generation 2685, Mean Error: 7585.407840229232
Generation 2690, Mean Error: 7582.571252929241
Generation 2695, Mean Error: 7560.429034100719
Generation 2700, Mean Error: 7556.091376111227
Generation 2705, Mean Error: 7563.454430212728
Generation 2710, Mean Error: 7557.63850928069
Generation 2715, Mean Error: 7546.783759112908
Generation 2720, Mean Error: 7543.037498157525
Generation 2725, Mean Error: 7535.750717404638
Generation 2730, Mean Error: 7536.35011640677
Generation 2735, Mean Error: 7542.966970714129
Generation 2740, Mean Error: 7536.464400077879
Generation 2745, Mean Error: 7537.261421501318
Generation 2750, Mean Error: 7537.634856813439
Generation 2755, Mean Error: 7537.644700408026
Generation 2760, Mean Error: 7538.4516313518925
Generation 2765, Mean Error: 7532.355609270323
Generation 2770, Mean Error: 7537.358484623721
Generation 2775, Mean Error: 7546.480443152518
Generation 2780, Mean Error: 7550.7675706184355
Generation 2785, Mean Error: 7541.309435342379
Generation 2790, Mean Error: 7540.625720146069
Generation 2795, Mean Error: 7542.726685500629
Generation 2800, Mean Error: 7565.229038772273
Generation 2805, Mean Error: 7547.448735140701
Generation 2810, Mean Error: 7541.8407639714815
Generation 2815, Mean Error: 7562.407158942376
Generation 2820, Mean Error: 7539.652168161966
Generation 2825, Mean Error: 7531.271551944134
Generation 2830, Mean Error: 7526.350989156358
Generation 2835, Mean Error: 7522.704979773714
Generation 2840, Mean Error: 7523.319641277754
Generation 2845, Mean Error: 7526.074780091548
Generation 2850, Mean Error: 7525.057863405739
Generation 2855, Mean Error: 7524.716420936265
Generation 2860, Mean Error: 7524.364506293909
Generation 2865, Mean Error: 7527.743050876778
Generation 2870, Mean Error: 7528.462690892457
Generation 2875, Mean Error: 7531.803785941397
Generation 2880, Mean Error: 7529.80407601833
Generation 2885, Mean Error: 7529.5888150161845
Generation 2890, Mean Error: 7530.119542186663
Generation 2895, Mean Error: 7528.267269536893
Generation 2900, Mean Error: 7525.985007336048
Generation 2905, Mean Error: 7523.75724305332
Generation 2910, Mean Error: 7524.122834052244
Generation 2915, Mean Error: 7521.057025356285
Generation 2920, Mean Error: 7520.973352901572
Generation 2925, Mean Error: 7519.73826877489
Generation 2930, Mean Error: 7523.344118363705
Generation 2935, Mean Error: 7525.267954470292
Generation 2940, Mean Error: 7525.485071933609
Generation 2945, Mean Error: 7521.060308094664
Generation 2950, Mean Error: 7521.711041888843
Generation 2955, Mean Error: 7520.896747548485
Generation 2960, Mean Error: 7521.985581848808
Generation 2965, Mean Error: 7520.667472325308
Generation 2970, Mean Error: 7522.081689211715
Generation 2975, Mean Error: 7520.138555504951
Generation 2980, Mean Error: 7520.365929702861
Generation 2985, Mean Error: 7519.821280221376
Generation 2990, Mean Error: 7520.106629379533
Generation 2995, Mean Error: 7521.04667105461
Generation 3000, Mean Error: 7522.800336447946
Generation 3005, Mean Error: 7522.128973158965
Generation 3010, Mean Error: 7518.565283967517
Generation 3015, Mean Error: 7518.313259803816
Generation 3020, Mean Error: 7518.059812773774
Generation 3025, Mean Error: 7520.482621721015
Generation 3030, Mean Error: 7520.677709665023
Generation 3035, Mean Error: 7522.766305149306
Generation 3040, Mean Error: 7517.909474781422
Generation 3045, Mean Error: 7516.445466205474
Generation 3050, Mean Error: 7514.791866980431
Generation 3055, Mean Error: 7514.627533212516
Generation 3060, Mean Error: 7516.0865990777775
Generation 3065, Mean Error: 7517.977795458928
Generation 3070, Mean Error: 7517.030332309137
Generation 3075, Mean Error: 7516.866527574317
Generation 3080, Mean Error: 7515.53708424565
Generation 3085, Mean Error: 7513.805483044436
Generation 3090, Mean Error: 7513.1320123182095
Generation 3095, Mean Error: 7512.915357038141
Generation 3100, Mean Error: 7513.688872572978
Generation 3105, Mean Error: 7512.77036511916
Generation 3110, Mean Error: 7512.900560052079
Generation 3115, Mean Error: 7514.447975538231
Generation 3120, Mean Error: 7516.616739164802
Generation 3125, Mean Error: 7515.664429416994
Generation 3130, Mean Error: 7516.059073555042
Generation 3135, Mean Error: 7514.795378669812
Generation 3140, Mean Error: 7513.9452740696115
Generation 3145, Mean Error: 7514.568512957121
Generation 3150, Mean Error: 7512.486855003433
Generation 3155, Mean Error: 7511.318352295024
